,speciesKey,name_author,Name,Tribe,BrassiBase_status,Trait_state,Sampled?,gbif_records,gbif_records_w_coordinates,gbif_records_w_coordinates_and_uncertainty,gbif_records_w_coordinates_and_uncertainty_under_1000m,gbif_records_w_coordinates_and_uncertainty_under_500m,gbif_records_w_coordinates_and_uncertainty_under_100m,gbif_records_wo_coordinates_but_w_locality,gbif_records_bin,gbif_records_w_coordinates_bin,gbif_records_w_coordinates_and_uncertainty_bin,gbif_records_w_coordinates_and_uncertainty_under_1000m_bin,gbif_records_w_coordinates_and_uncertainty_under_500m_bin,gbif_records_w_coordinates_and_uncertainty_under_100m_bin
1121,3047263,Nerisyrenia linearifolia var. mexicana J.D. Bacon,Nerisyrenia linearifolia,Physarieae,accepted,H,Y,72,34,18,11,11,8,38,>=10,>=10,>=10,>=10,>=10,<10
3772,9040863,Neslia apiculata Fisch. & C.A. Mey.,Neslia apiculata,Camelineae,accepted,H,N,21134,17427,13467,1672,1189,934,3707,>=1000,>=1000,>=1000,>=1000,>=1000,>=500
1025,3046728,Neuontobotrys berningeri O.E. Schulz,Neuontobotrys berningeri,Thelypodieae,accepted,W,N,6,0,0,0,0,0,6,<10,0,0,0,0,0
3767,8969737,Neuontobotrys camanaensis Al-Shehbaz & A. Cano,Neuontobotrys camanaensis,Thelypodieae,accepted,W,Y,2,0,0,0,0,0,2,<10,0,0,0,0,0
1019,3046695,Neuontobotrys choiquensis (Romanczuk) Al-Shehbaz,Neuontobotrys choiquensis,Thelypodieae,accepted,H,N,8,4,0,0,0,0,4,<10,<10,0,0,0,0
1026,3046730,Neuontobotrys elloanensis Al-Shehbaz,Neuontobotrys elloanensis,Thelypodieae,accepted,W,N,3,2,0,0,0,0,1,<10,<10,0,0,0,0
1021,3046699,Neuontobotrys frutescens (Gillies ex Hook. & Arn.) Al-Shehbaz,Neuontobotrys frutescens,Thelypodieae,accepted,W,N,82,30,6,5,0,0,52,>=10,>=10,<10,<10,0,0
3832,10709112,Neuontobotrys grayana (Baehni & J.F. Macbr.) Al-Shehbaz,Neuontobotrys grayana,Thelypodieae,accepted,H,N,20,8,0,0,0,0,12,>=10,<10,0,0,0,0
3972,10901510,Neuontobotrys intricatissima (Phil.) Al-Shehbaz,Neuontobotrys intricatissima,Thelypodieae,accepted,H,Y,28,4,0,0,0,0,24,>=10,<10,0,0,0,0
1024,3046714,Neuontobotrys lanata (Walp.) Al-Shehbaz,Neuontobotrys lanata,Thelypodieae,accepted,W,Y,104,29,2,2,2,1,75,>=100,>=10,<10,<10,<10,<10
1027,3046731,Neuontobotrys linearifolia (Kuntze) Al-Shehbaz,Neuontobotrys linearifolia,Thelypodieae,accepted,W,N,38,2,0,0,0,0,36,>=10,<10,0,0,0,0
1020,3046697,Neuontobotrys mendocina (Romanczuk) Al-Shehbaz,Neuontobotrys mendocina,Thelypodieae,accepted,H,N,13,7,0,0,0,0,6,>=10,<10,0,0,0,0
1018,3046691,Neuontobotrys polyphylla (Phil.) Al-Shehbaz,Neuontobotrys polyphylla,Thelypodieae,accepted,H,N,17,2,0,0,0,0,15,>=10,<10,0,0,0,0
1022,3046705,Neuontobotrys robusta (Chodat & Wilczek) Al-Shehbaz,Neuontobotrys robusta,Thelypodieae,accepted,W,Y,29,16,0,0,0,0,13,>=10,>=10,0,0,0,0
3834,10713483,Neuontobotrys schulzii (Al-Shehbaz) Al-Shehbaz,Neuontobotrys schulzii,Thelypodieae,accepted,H,N,7,4,0,0,0,0,3,<10,<10,0,0,0,0
1023,3046707,Neuontobotrys tarapacana (Phil.) Al-Shehbaz,Neuontobotrys tarapacana,Thelypodieae,accepted,W,N,127,63,8,8,7,6,64,>=100,>=10,<10,<10,<10,<10
3942,10854896,Neurotropis orbiculata (Steven ex DC.) F.K. Mey.,Neurotropis orbiculata,Coluteocarpeae,accepted,H,Y,15,3,2,0,0,0,12,>=10,<10,<10,0,0,0
4072,11017635,Neurotropis platycarpa (Fisch. & C.A. Mey.) F.K. Mey.,Neurotropis platycarpa,Coluteocarpeae,accepted,H,N,164,67,46,11,8,8,97,>=100,>=10,>=10,>=10,<10,<10
3967,10893289,Neurotropis szowitsiana (Boiss.) F.K. Mey.,Neurotropis szowitsiana,Coluteocarpeae,accepted,H,N,5,2,1,1,1,1,3,<10,<10,<10,<10,<10,<10
252,3042124,Nevada holmgrenii (Rollins) N.H. Holmgren,Nevada holmgrenii,Boechereae,accepted,H,Y,77,19,2,2,2,0,58,>=10,>=10,<10,<10,<10,0
2365,3687566,Noccaea × gremliana (Thell.) F.K. Mey.,Noccaea ×,#N/A,#N/A,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
3981,10914754,Noccaea aghrica (P.H. Davis & Kit Tan) Fırat & Özüdoğru,Noccaea aghrica,Coluteocarpeae,accepted,H,N,5,0,0,0,0,0,5,<10,0,0,0,0,0
766,3045431,Noccaea albanica F.K. Mey.,Noccaea albanica,Coluteocarpeae,accepted,H,N,10,8,1,0,0,0,2,>=10,<10,<10,0,0,0
2380,3688425,Noccaea alpestris (Jacq.) Kerguélen,Noccaea alpestris,Coluteocarpeae,accepted,H,N,1169,529,474,29,25,22,640,>=1000,>=500,>=100,>=10,>=10,>=10
748,3045357,Noccaea amani (Post) F.K. Mey.,Noccaea amani,Coluteocarpeae,accepted,H,N,26,6,0,0,0,0,20,>=10,<10,0,0,0,0
758,3045387,Noccaea andersonii (Hook.f. & Thomson) Al-Shehbaz,Noccaea andersonii,Coluteocarpeae,accepted,H,N,119,16,3,0,0,0,103,>=100,>=10,<10,0,0,0
746,3045350,Noccaea angustifolia F.K. Mey.,Noccaea angustifolia,Coluteocarpeae,accepted,H,N,5,2,0,0,0,0,3,<10,<10,0,0,0,0
735,3045314,Noccaea annua (K. Koch) F.K. Mey.,Noccaea annua,Coluteocarpeae,accepted,H,N,59,18,0,0,0,0,41,>=10,>=10,0,0,0,0
717,3045225,Noccaea aptera (Velen.) F.K. Mey.,Noccaea aptera,Coluteocarpeae,accepted,H,N,15,1,1,1,1,1,14,>=10,<10,<10,<10,<10,<10
750,3045362,Noccaea arctica (A.E. Porsild) Holub,Noccaea arctica,Coluteocarpeae,accepted,H,N,136,68,34,5,4,3,68,>=100,>=10,>=10,<10,<10,<10
778,3045485,Noccaea arenaria (Duby) F.K. Mey.,Noccaea arenaria,Coluteocarpeae,accepted,H,N,193,47,47,0,0,0,146,>=100,>=10,>=10,0,0,0
3806,10674849,Noccaea atlantica (Batt.) Al-Shehbaz,Noccaea atlantica,Coluteocarpeae,accepted,H,N,8,0,0,0,0,0,0,<10,0,0,0,0,0
761,3045416,Noccaea banatica (R. Uechtr.) F.K. Mey.,Noccaea banatica,Coluteocarpeae,accepted,H,N,10,2,0,0,0,0,8,>=10,<10,0,0,0,0
741,3045330,Noccaea bellidifolia (Griseb.) F.K. Mey.,Noccaea bellidifolia,Coluteocarpeae,accepted,H,N,45,7,4,3,1,1,38,>=10,<10,<10,<10,<10,<10
730,3045292,Noccaea boeotica F.K. Mey.,Noccaea boeotica,Coluteocarpeae,accepted,H,N,33,30,1,0,0,0,3,>=10,>=10,<10,0,0,0
3735,8405284,Noccaea borealis F.K. Mey.,Noccaea borealis,Coluteocarpeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
4074,11019641,Noccaea bornmuelleri (Rech.f.) Al-Shehbaz,Noccaea bornmuelleri,Coluteocarpeae,not accepted,H,N,3,0,0,0,0,0,3,<10,0,0,0,0,0
777,3045473,Noccaea brachypetala (Jord.) F.K. Mey.,Noccaea brachypetala,Coluteocarpeae,accepted,H,N,8727,6476,5768,1367,1272,933,2251,>=1000,>=1000,>=1000,>=1000,>=1000,>=500
721,3045235,Noccaea brevistyla (DC.) Steud.,Noccaea brevistyla,Coluteocarpeae,accepted,H,N,351,229,118,25,5,4,122,>=100,>=100,>=100,>=10,<10,<10
4105,11066058,Noccaea bulbosa (Spruner ex Boiss.) Al-Shehbaz,Noccaea bulbosa,Coluteocarpeae,accepted,H,N,86,13,2,2,2,2,73,>=10,>=10,<10,<10,<10,<10
776,3045463,Noccaea caerulescens (J. Presl & C. Presl) F.K. Mey.,Noccaea caerulescens,Coluteocarpeae,accepted,H,N,36128,33363,30365,19979,17334,14567,2765,>=1000,>=1000,>=1000,>=1000,>=1000,>=1000
765,3045424,Noccaea cepaeifolia (Wulfen) Rchb.,Noccaea cepaeifolia,Coluteocarpeae,accepted,H,N,164,7,2,2,1,1,157,>=100,<10,<10,<10,<10,<10
715,3045220,Noccaea cikaea F.K. Mey.,Noccaea cikaea,Coluteocarpeae,accepted,H,N,2,1,1,0,0,0,1,<10,<10,<10,0,0,0
736,3045316,Noccaea cochlearioidea (Hook.f. & Thomson) Al-Shehbaz,Noccaea cochlearioidea,Coluteocarpeae,accepted,H,N,47,3,2,0,0,0,44,>=10,<10,<10,0,0,0
3948,10868447,Noccaea cornuticarpa (Naqshi) Al-Shehbaz,Noccaea cornuticarpa,Coluteocarpeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
757,3045382,Noccaea corymbosa (J. Gay) F.K. Mey.,Noccaea corymbosa,Coluteocarpeae,accepted,H,N,1139,1076,900,13,12,7,63,>=1000,>=1000,>=500,>=10,>=10,<10
734,3045306,Noccaea cretica (Degen & Jáv.) F.K. Mey.,Noccaea cretica,Coluteocarpeae,accepted,H,N,7,5,2,1,0,0,2,<10,<10,<10,<10,0,0
764,3045422,Noccaea cypria (Bornm.) F.K. Mey.,Noccaea cypria,Coluteocarpeae,accepted,H,N,17,4,0,0,0,0,13,>=10,<10,0,0,0,0
3752,8622945,Noccaea dacica (Heuff.) F.K. Mey.,Noccaea dacica,Coluteocarpeae,accepted,H,N,29,2,2,1,1,0,27,>=10,<10,<10,<10,<10,0
739,3045327,Noccaea densiflora (Boiss. & Kotschy) F.K. Mey.,Noccaea densiflora,Coluteocarpeae,accepted,H,N,38,1,0,0,0,0,37,>=10,<10,0,0,0,0
782,3045507,Noccaea eburneosa F.K. Mey.,Noccaea eburneosa,Coluteocarpeae,accepted,H,N,6,1,0,0,0,0,5,<10,<10,0,0,0,0
749,3045360,Noccaea edinensium F.K. Mey.,Noccaea edinensium,Coluteocarpeae,accepted,H,N,5,0,0,0,0,0,5,<10,0,0,0,0,0
770,3045441,Noccaea epirota (Halácsy) F.K. Mey.,Noccaea epirota,Coluteocarpeae,accepted,H,N,15,6,2,0,0,0,9,>=10,<10,<10,0,0,0
728,3045261,Noccaea fendleri (A. Gray) Holub,Noccaea fendleri,Coluteocarpeae,accepted,H,N,4120,2643,1743,682,573,418,1477,>=1000,>=1000,>=1000,>=500,>=500,>=100
2175,3052762,Noccaea ferganensis (N. Busch) Czerep.,Noccaea ferganensis,Coluteocarpeae,accepted,H,N,18,7,0,0,0,0,11,>=10,<10,0,0,0,0
740,3045329,Noccaea firmiensis F.K. Mey.,Noccaea firmiensis,Coluteocarpeae,accepted,H,N,22,19,18,1,0,0,3,>=10,>=10,>=10,<10,0,0
780,3045501,Noccaea flagellifera (O.E. Schulz) Al-Shehbaz,Noccaea flagellifera,Coluteocarpeae,accepted,H,N,26,13,0,0,0,0,13,>=10,>=10,0,0,0,0
2367,3687582,Noccaea gardeziana F.K. Mey.,Noccaea gardeziana,Coluteocarpeae,accepted,H,N,5,1,0,0,0,0,4,<10,<10,0,0,0,0
747,3045354,Noccaea goesingensis (Halácsy) F.K. Mey.,Noccaea goesingensis,Coluteocarpeae,accepted,H,N,335,120,90,40,21,8,215,>=100,>=100,>=10,>=10,>=10,<10
737,3045320,Noccaea graeca (Jord.) F.K. Mey.,Noccaea graeca,Coluteocarpeae,accepted,H,N,75,22,2,2,2,2,53,>=10,>=10,<10,<10,<10,<10
2364,3687560,Noccaea griffithiana (Boiss.) F.K. Mey.,Noccaea griffithiana,Coluteocarpeae,accepted,H,N,134,90,75,0,0,0,44,>=100,>=10,>=10,0,0,0
775,3045451,Noccaea haussknechtii (Boiss.) F.K. Mey.,Noccaea haussknechtii,Coluteocarpeae,accepted,H,N,6,0,0,0,0,0,6,<10,0,0,0,0,0
3950,10870067,Noccaea iranica Al-Shehbaz,Noccaea iranica,Coluteocarpeae,accepted,H,N,2,1,0,0,0,0,1,<10,<10,0,0,0,0
725,3045253,Noccaea jankae (A. Kern.) F.K. Mey.,Noccaea jankae,Coluteocarpeae,accepted,H,N,151,40,2,1,1,0,111,>=100,>=10,<10,<10,<10,0
3680,8127888,Noccaea japonica (H. Boissieu) F.K. Mey.,Noccaea japonica,Coluteocarpeae,accepted,H,N,18,0,0,0,0,0,18,>=10,0,0,0,0,0
3985,10919702,Noccaea jaubertii (Hedge) Al-Shehbaz,Noccaea jaubertii,Coluteocarpeae,accepted,H,N,11,1,0,0,0,0,10,>=10,<10,0,0,0,0
2167,3052704,Noccaea kamtschatica (Karavaev) Czerep.,Noccaea kamtschatica,Coluteocarpeae,accepted,H,N,33,28,24,1,0,0,5,>=10,>=10,>=10,<10,0,0
760,3045406,Noccaea kovatsii (Heuff.) F.K. Mey.,Noccaea kovatsii,Coluteocarpeae,accepted,H,N,155,13,2,2,2,1,142,>=100,>=10,<10,<10,<10,<10
2171,3052722,Noccaea leblebicii (Gemici & Görk) Raus,Noccaea leblebicii,Coluteocarpeae,accepted,H,N,2,1,0,0,0,0,1,<10,<10,0,0,0,0
720,3045231,Noccaea libanotica F.K. Mey.,Noccaea libanotica,Coluteocarpeae,accepted,H,N,1,0,0,0,0,0,1,<10,0,0,0,0,0
718,3045226,Noccaea limosellifolia (Reut. ex Burnat) F.K. Mey.,Noccaea limosellifolia,Coluteocarpeae,accepted,H,N,31,4,0,0,0,0,27,>=10,<10,0,0,0,0
773,3045448,Noccaea lutescens (Velen.) F.K. Mey.,Noccaea lutescens,Coluteocarpeae,accepted,H,N,8,6,6,6,6,3,2,<10,<10,<10,<10,<10,<10
4110,11072165,Noccaea maassoumii (Mozaff.) Al-Shehbaz,Noccaea maassoumii,Coluteocarpeae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
756,3045379,Noccaea macrantha (Lipsky) F.K. Mey.,Noccaea macrantha,Coluteocarpeae,accepted,H,N,166,157,99,82,74,60,9,>=100,>=100,>=10,>=10,>=10,>=10
3757,8759111,Noccaea magellanica (Comm. ex Pers.) Holub,Noccaea magellanica,Coluteocarpeae,accepted,H,N,467,240,21,13,13,11,227,>=100,>=100,>=10,>=10,>=10,>=10
723,3045241,Noccaea mexicana (Standl.) Holub,Noccaea mexicana,Coluteocarpeae,accepted,H,N,48,28,17,12,12,12,20,>=10,>=10,>=10,>=10,>=10,>=10
763,3045420,Noccaea microphylla (Boiss. & Orph.) F.K. Mey.,Noccaea microphylla,Coluteocarpeae,accepted,H,N,55,25,2,1,1,1,30,>=10,>=10,<10,<10,<10,<10
755,3045377,Noccaea microstyla (Boiss.) F.K. Mey.,Noccaea microstyla,Coluteocarpeae,accepted,H,N,16,2,0,0,0,0,14,>=10,<10,0,0,0,0
716,3045222,Noccaea minima (Ard.) F.K. Mey.,Noccaea minima,Coluteocarpeae,accepted,H,N,126,26,7,6,6,3,100,>=100,>=10,<10,<10,<10,<10
729,3045282,Noccaea montana (L.) F.K. Mey.,Noccaea montana,Coluteocarpeae,accepted,H,N,6635,4225,2937,461,222,146,2410,>=1000,>=1000,>=1000,>=100,>=100,>=100
744,3045345,Noccaea nepalensis Al-Shehbaz,Noccaea nepalensis,Coluteocarpeae,accepted,H,N,5,3,2,2,0,0,2,<10,<10,<10,<10,0,0
731,3045293,Noccaea nevadensis (Boiss. & Reut.) F.K. Mey.,Noccaea nevadensis,Coluteocarpeae,accepted,H,N,140,57,45,11,8,8,83,>=100,>=10,>=10,>=10,<10,<10
3754,8661093,Noccaea occitanica (Jord.) F.K. Mey.,Noccaea occitanica,Coluteocarpeae,accepted,H,N,317,68,63,6,1,0,249,>=100,>=10,>=10,<10,<10,0
779,3045497,Noccaea ochroleuca (Boiss. & Heldr.) F.K. Mey.,Noccaea ochroleuca,Coluteocarpeae,accepted,H,N,205,114,2,2,2,1,91,>=100,>=100,<10,<10,<10,<10
732,3045295,Noccaea papillosa (Boiss.) F.K. Mey.,Noccaea papillosa,Coluteocarpeae,accepted,H,N,15,4,0,0,0,0,11,>=10,<10,0,0,0,0
751,3045364,"Noccaea papyracea (Boiss.) Khosravi, Mumm. & Mohsenzadeh",Noccaea papyracea,Coluteocarpeae,accepted,H,N,72,6,0,0,0,0,66,>=10,<10,0,0,0,0
769,3045439,Noccaea parviflora (A. Nelson) Holub,Noccaea parviflora,Coluteocarpeae,accepted,H,N,96,11,1,0,0,0,85,>=10,>=10,<10,0,0,0
722,3045239,Noccaea phrygia (Bornm.) F.K. Mey.,Noccaea phrygia,Coluteocarpeae,accepted,H,N,3,0,0,0,0,0,3,<10,0,0,0,0,0
3745,8542430,Noccaea praecox (Wulfen) F.K. Mey.,Noccaea praecox,Coluteocarpeae,accepted,H,N,1071,652,475,48,46,38,419,>=1000,>=500,>=100,>=10,>=10,>=10
733,3045297,Noccaea pumila (Steven) Steud.,Noccaea pumila,Coluteocarpeae,accepted,H,N,15,12,7,4,3,1,3,>=10,>=10,<10,<10,<10,<10
745,3045349,Noccaea rhodopensis F.K. Mey.,Noccaea rhodopensis,Coluteocarpeae,accepted,H,N,6,0,0,0,0,0,6,<10,0,0,0,0,0
724,3045243,Noccaea rotundifolia (L.) Moench,Noccaea rotundifolia,Coluteocarpeae,accepted,H,N,10121,8410,6691,368,348,262,1711,>=1000,>=1000,>=1000,>=100,>=100,>=100
767,3045432,Noccaea rubescens (Boiss.) F.K. Mey.,Noccaea rubescens,Coluteocarpeae,accepted,H,N,21,3,0,0,0,0,18,>=10,<10,0,0,0,0
783,3045508,Noccaea salisii (Brügger) F.K. Mey.,Noccaea salisii,Coluteocarpeae,accepted,H,N,163,5,5,0,0,0,158,>=100,<10,<10,0,0,0
781,3045503,Noccaea sarmatica F.K. Mey.,Noccaea sarmatica,Coluteocarpeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
759,3045391,Noccaea sintenisii (Bornm.) F.K. Mey.,Noccaea sintenisii,Coluteocarpeae,accepted,H,N,36,8,2,2,1,1,28,>=10,<10,<10,<10,<10,<10
771,3045442,Noccaea stenoptera (Boiss. & Reut.) F.K. Mey.,Noccaea stenoptera,Coluteocarpeae,accepted,H,N,547,420,320,150,4,4,127,>=500,>=100,>=100,>=100,<10,<10
738,3045323,Noccaea stilosa (Ten.) Rchb.,Noccaea stilosa,Coluteocarpeae,accepted,H,N,116,18,4,3,3,1,98,>=100,>=10,<10,<10,<10,<10
2500,3693836,Noccaea swatensis F.K. Mey.,Noccaea swatensis,Coluteocarpeae,accepted,H,N,3,2,0,0,0,0,1,<10,<10,0,0,0,0
726,3045256,Noccaea sylvia (Gaudin) F.K. Mey.,Noccaea sylvia,Coluteocarpeae,accepted,H,N,624,524,330,2,2,1,100,>=500,>=500,>=100,<10,<10,<10
768,3045435,Noccaea tatianae (Bordz.) F.K. Mey.,Noccaea tatianae,Coluteocarpeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
772,3045444,Noccaea tenuis (Boiss. & Buhse) F.K. Mey.,Noccaea tenuis,Coluteocarpeae,accepted,H,N,5,2,0,0,0,0,3,<10,<10,0,0,0,0
3588,7551420,Noccaea thlaspidioides (Pall.) F.K. Mey.,Noccaea thlaspidioides,Coluteocarpeae,accepted,H,N,547,401,312,66,61,48,146,>=500,>=100,>=100,>=10,>=10,>=10
719,3045229,Noccaea tymphaea (Hausskn.) F.K. Mey.,Noccaea tymphaea,Coluteocarpeae,accepted,H,N,23,7,1,1,1,0,16,>=10,<10,<10,<10,<10,0
743,3045335,Noccaea valerianoides (Rech.f.) F.K. Mey.,Noccaea valerianoides,Coluteocarpeae,accepted,H,N,10,1,1,1,0,0,9,>=10,<10,<10,<10,0,0
2541,5373267,Noccaea venusta (Schischk.) D.A. German,Noccaea venusta,Coluteocarpeae,accepted,H,N,4,0,0,0,0,0,4,<10,0,0,0,0,0
774,3045450,Noccaea versicolor (Stoj. & Kitan.) F.K. Mey.,Noccaea versicolor,Coluteocarpeae,accepted,H,N,5,0,0,0,0,0,0,<10,0,0,0,0,0
3831,10707913,Noccaea vesicaria (L.) Al-Shehbaz,Noccaea vesicaria,Coluteocarpeae,accepted,H,Y,164,31,8,7,4,1,133,>=100,>=10,<10,<10,<10,<10
727,3045259,Noccaea violascens (Schott & Kotschy) F.K. Mey.,Noccaea violascens,Coluteocarpeae,accepted,H,N,59,1,0,0,0,0,58,>=10,<10,0,0,0,0
754,3045372,Noccaea virens (Jord.) F.K. Mey.,Noccaea virens,Coluteocarpeae,accepted,H,N,1035,672,610,3,3,2,363,>=1000,>=500,>=500,<10,<10,<10
742,3045332,Noccaea viridisepala (Podp.) F.K. Mey.,Noccaea viridisepala,Coluteocarpeae,accepted,H,N,6,1,0,0,0,0,5,<10,<10,0,0,0,0
2496,3693788,Noccaea wendelboi (Rech.f.) F.K. Mey.,Noccaea wendelboi,Coluteocarpeae,accepted,H,N,2,2,0,0,0,0,0,<10,<10,0,0,0,0
753,3045369,Noccaea yunnanensis (Franch.) Al-Shehbaz,Noccaea yunnanensis,Coluteocarpeae,accepted,H,N,102,35,0,0,0,0,67,>=100,>=10,0,0,0,0
2172,3052743,Noccaea zaffranii F.K. Mey.,Noccaea zaffranii,Coluteocarpeae,not accepted,H,N,8,0,0,0,0,0,8,<10,0,0,0,0,0
3751,8620523,Noccidium hastulatum (DC.) F.K. Mey.,Noccidium hastulatum,Coluteocarpeae,accepted,H,Y,19,4,0,0,0,0,15,>=10,<10,0,0,0,0
570,3044437,Noccidium tuberculatum F.K. Mey.,Noccidium tuberculatum,Coluteocarpeae,not accepted,H,N,1,0,0,0,0,0,1,<10,0,0,0,0,0
2737,5374288,Notoceras bicorne (Aiton) Amo,Notoceras bicorne,Anastaticeae,accepted,H,Y,1290,567,342,205,82,40,723,>=1000,>=500,>=100,>=100,>=10,>=10
406,3043189,Notothlaspi australe Hook.f.,Notothlaspi australe,Notothlaspideae,accepted,H,Y,302,267,130,115,108,86,35,>=100,>=100,>=100,>=100,>=100,>=10
405,3043187,Notothlaspi rosulatum Hook.f.,Notothlaspi rosulatum,Notothlaspideae,accepted,H,Y,250,218,101,91,90,58,32,>=100,>=100,>=100,>=10,>=10,>=10
396,3043032,Ochthodium aegyptiacum (L.) DC.,Ochthodium aegyptiacum,Sisymbrieae,accepted,H,N,506,338,219,218,12,12,168,>=500,>=100,>=100,>=100,>=10,>=10
390,3042951,Octoceras lehmannianum Bunge,Octoceras lehmannianum,Euclidieae,accepted,H,N,47,13,11,1,1,0,34,>=10,>=10,>=10,<10,<10,0
3973,10903847,Odontarrhena akamasica (B.L. Burtt) Španiel & al.,Odontarrhena akamasica,Alysseae,accepted,W,Y,27,2,1,1,1,0,25,>=10,<10,<10,<10,<10,0
3885,10773422,Odontarrhena albiflora (F.K. Mey.) Španiel & al.,Odontarrhena albiflora,Alysseae,accepted,H,N,3,0,0,0,0,0,3,<10,0,0,0,0,0
657,3044956,Odontarrhena alpestris (L.) Ledeb.,Odontarrhena alpestris,Alysseae,accepted,H,Y,3978,2618,2129,22,15,3,1360,>=1000,>=1000,>=1000,>=10,>=10,<10
4102,11056190,Odontarrhena anatolica (Hausskn. ex Nyár.) Španiel & al.,Odontarrhena anatolica,Alysseae,accepted,H,Y,33,0,0,0,0,0,33,>=10,0,0,0,0,0
689,3045113,Odontarrhena argentea (All.) Ledeb.,Odontarrhena argentea,Alysseae,accepted,W,Y,326,54,19,9,8,7,272,>=100,>=10,>=10,<10,<10,<10
4014,10947531,Odontarrhena bertolonii (Desv.) Jord. & Fourr.,Odontarrhena bertolonii,Alysseae,accepted,W,Y,363,158,3,3,3,3,205,>=100,>=100,<10,<10,<10,<10
4147,11201730,Odontarrhena borzaeana (Nyár.) D.A. German,Odontarrhena borzaeana,Alysseae,accepted,W,Y,92,8,6,6,5,5,84,>=10,<10,<10,<10,<10,<10
4086,11038687,Odontarrhena bracteata (Boiss. & Buhse) Španiel & al.,Odontarrhena bracteata,Alysseae,accepted,H,Y,87,13,0,0,0,0,74,>=10,>=10,0,0,0,0
3989,10927745,Odontarrhena callichroa (Boiss. & Balansa) Španiel & al.,Odontarrhena callichroa,Alysseae,accepted,W,Y,39,3,0,0,0,0,36,>=10,<10,0,0,0,0
4075,11021664,Odontarrhena carica (T.R. Dudley & Hub.-Mor.) Španiel & al.,Odontarrhena carica,Alysseae,accepted,W,Y,34,3,0,0,0,0,31,>=10,<10,0,0,0,0
4076,11023364,Odontarrhena cassia (Boiss.) Španiel & al.,Odontarrhena cassia,Alysseae,accepted,W,Y,75,1,0,0,0,0,74,>=10,<10,0,0,0,0
3988,10926245,Odontarrhena chalcidica (Janka) Španiel & al.,Odontarrhena chalcidica,Alysseae,accepted,W,Y,272,108,4,2,2,2,164,>=100,>=100,<10,<10,<10,<10
4127,11104304,Odontarrhena chondrogyna (B.L. Burtt) Španiel & al.,Odontarrhena chondrogyna,Alysseae,accepted,W,Y,15,3,0,0,0,0,12,>=10,<10,0,0,0,0
3847,10729955,Odontarrhena cilicica (Boiss. & Balansa) Španiel & al.,Odontarrhena cilicica,Alysseae,accepted,H,N,32,1,0,0,0,0,31,>=10,<10,0,0,0,0
3893,10785460,Odontarrhena condensata (Boiss. & Hausskn.) Jord. & Fourr.,Odontarrhena condensata,Alysseae,accepted,H,Y,222,24,2,1,1,1,198,>=100,>=10,<10,<10,<10,<10
3975,10905345,Odontarrhena constellata (Boiss.) Španiel & al.,Odontarrhena constellata,Alysseae,accepted,W,Y,45,4,1,0,0,0,41,>=10,<10,<10,0,0,0
4104,11062190,Odontarrhena corsica (Duby) Španiel & al.,Odontarrhena corsica,Alysseae,accepted,W,Y,452,72,27,6,0,0,380,>=100,>=10,>=10,<10,0,0
3882,10771512,Odontarrhena corymbosoidea (Formánek) Španiel & al.,Odontarrhena corymbosoidea,Alysseae,accepted,H,Y,58,17,0,0,0,0,41,>=10,>=10,0,0,0,0
4111,11073880,Odontarrhena crenulata (Boiss.) Španiel & al.,Odontarrhena crenulata,Alysseae,accepted,H,N,24,2,0,0,0,0,22,>=10,<10,0,0,0,0
4031,10974708,Odontarrhena cyprica (Nyár.) Španiel & al.,Odontarrhena cyprica,Alysseae,accepted,W,Y,92,23,10,10,10,9,69,>=10,>=10,>=10,>=10,>=10,<10
3919,10826883,Odontarrhena debarensis (Micevski) Španiel & al.,Odontarrhena debarensis,Alysseae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2484,3693576,Odontarrhena diffusa Jord. & Fourr.,Odontarrhena diffusa,Alysseae,accepted,H,Y,1,0,0,0,0,0,0,<10,0,0,0,0,0
3982,10914850,Odontarrhena discolor (T.R. Dudley & Hub.-Mor.) Španiel & al.,Odontarrhena discolor,Alysseae,accepted,W,Y,20,3,0,0,0,0,17,>=10,<10,0,0,0,0
4122,11099898,Odontarrhena dubertretii (Comb.) Španiel & al.,Odontarrhena dubertretii,Alysseae,accepted,W,Y,6,1,0,0,0,0,5,<10,<10,0,0,0,0
4016,10952667,Odontarrhena dudleyi (N. Adiguzel & R.D. Reeves) Španiel & al.,Odontarrhena dudleyi,Alysseae,accepted,W,Y,3,1,0,0,0,0,2,<10,<10,0,0,0,0
4063,11008061,Odontarrhena elatius (F.K. Mey.) Španiel & al.,Odontarrhena elatius,Alysseae,accepted,H,N,1,0,0,0,0,0,1,<10,0,0,0,0,0
4068,11012579,Odontarrhena eriophylla (Boiss. & Hausskn.) Španiel & al.,Odontarrhena eriophylla,Alysseae,accepted,W,Y,34,1,0,0,0,0,33,>=10,<10,0,0,0,0
