,speciesKey,name_author,Name,Tribe,BrassiBase_status,Trait_state,Sampled?,gbif_records,gbif_records_w_coordinates,gbif_records_w_coordinates_and_uncertainty,gbif_records_w_coordinates_and_uncertainty_under_1000m,gbif_records_w_coordinates_and_uncertainty_under_500m,gbif_records_w_coordinates_and_uncertainty_under_100m,gbif_records_wo_coordinates_but_w_locality,gbif_records_bin,gbif_records_w_coordinates_bin,gbif_records_w_coordinates_and_uncertainty_bin,gbif_records_w_coordinates_and_uncertainty_under_1000m_bin,gbif_records_w_coordinates_and_uncertainty_under_500m_bin,gbif_records_w_coordinates_and_uncertainty_under_100m_bin
2055,3051084,Aethionema sagittatum (Boiss.) Boiss.,Aethionema sagittatum,Coluteocarpeae,not accepted,H,N,3,0,0,0,0,0,3,<10,0,0,0,0,0
3640,7870683,Aethionema saxatile (L.) W.T. Aiton,Aethionema saxatile,Aethionemeae,accepted,W,Y,13519,9900,8059,803,320,247,3619,>=1000,>=1000,>=1000,>=500,>=100,>=100
2032,3051034,Aethionema schistosum Boiss. & Kotschy,Aethionema schistosum,Aethionemeae,accepted,W,Y,61,3,1,1,0,0,58,>=10,<10,<10,<10,0,0
2072,3051139,Aethionema semnanensis Mozaff.,Aethionema semnanensis,Aethionemeae,accepted,H,Y,1,0,0,0,0,0,1,<10,0,0,0,0,0
2042,3051058,Aethionema speciosum Boiss. & A. Huet,Aethionema speciosum,Aethionemeae,accepted,W,Y,115,6,1,1,1,1,109,>=100,<10,<10,<10,<10,<10
3992,10929655,Aethionema speciosum subsp. compactum Hartvig & Strid,Aethionema speciosum,Aethionemeae,accepted,W,Y,8,5,0,0,0,0,3,<10,<10,0,0,0,0
2080,3051164,Aethionema spicatum Post,Aethionema spicatum,Aethionemeae,accepted,H,Y,15,4,1,1,1,1,11,>=10,<10,<10,<10,<10,<10
3687,8156416,Aethionema spinosum (Boiss.) Prantl,Aethionema spinosum,Aethionemeae,accepted,W,Y,110,6,0,0,0,0,104,>=100,<10,0,0,0,0
2039,3051054,Aethionema stenopterum Boiss.,Aethionema stenopterum,Aethionemeae,accepted,H,Y,31,1,0,0,0,0,30,>=10,<10,0,0,0,0
2035,3051042,Aethionema stylosum DC.,Aethionema stylosum,Aethionemeae,accepted,W,Y,47,5,0,0,0,0,42,>=10,<10,0,0,0,0
2040,3051055,Aethionema subulatum (Boiss. & Heldr.) Boiss.,Aethionema subulatum,Aethionemeae,accepted,W,Y,10,0,0,0,0,0,10,>=10,0,0,0,0,0
2046,3051064,Aethionema syriacum (Boiss.) Bornm.,Aethionema syriacum,Aethionemeae,accepted,H,Y,59,3,0,0,0,0,56,>=10,<10,0,0,0,0
2057,3051088,Aethionema thesiifolium Boiss. & Heldr.,Aethionema thesiifolium,Aethionemeae,accepted,H,Y,12,0,0,0,0,0,12,>=10,0,0,0,0,0
2064,3051121,Aethionema thomasianum J. Gay,Aethionema thomasianum,Aethionemeae,accepted,H,Y,390,261,255,48,5,5,129,>=100,>=100,>=100,>=10,<10,<10
2069,3051130,Aethionema transhyrcanum (Czerniak.) N. Busch,Aethionema transhyrcanum,Aethionemeae,accepted,W,Y,26,2,0,0,0,0,24,>=10,<10,0,0,0,0
2472,3693334,Aethionema turcicum H. Duman & Aytaç,Aethionema turcicum,Aethionemeae,accepted,W,Y,2,0,0,0,0,0,2,<10,0,0,0,0,0
2048,3051068,Aethionema umbellatum (Boiss.) Bornm.,Aethionema umbellatum,Aethionemeae,accepted,H,Y,25,3,1,0,0,0,22,>=10,<10,<10,0,0,0
2054,3051082,Aethionema virgatum (Boiss.) Hedge,Aethionema virgatum,Aethionemeae,accepted,W,Y,243,42,20,3,1,1,201,>=100,>=10,>=10,<10,<10,<10
3952,10873249,Aimara rollinsii (Al-Shehbaz & Martic.) Salariato & Al-Shehbaz,Aimara rollinsii,Cremolobeae,accepted,W,Y,21,6,0,0,0,0,15,>=10,<10,0,0,0,0
3092,5376075,Alliaria petiolata (M. Bieb.) Cavara & Grande,Alliaria petiolata,Thlaspideae,accepted,H,Y,602247,596080,478461,285527,252370,232757,6167,>=1000,>=1000,>=1000,>=1000,>=1000,>=1000
4033,10975716,Alshehbazia hauthalii (Gilg & Muschl.) Salariato & Zuolaga,Alshehbazia hauthalii,Eudemeae,accepted,H,N,51,24,0,0,0,0,27,>=10,>=10,0,0,0,0
1981,3050529,Alyssoides utriculata (L.) Medik.,Alyssoides utriculata,Alysseae,accepted,H,Y,4205,3089,2299,173,166,142,1116,>=1000,>=1000,>=1000,>=100,>=100,>=100
1580,3049291,Alyssopsis mollis (Jacq.) O.E. Schulz,Alyssopsis mollis,Alyssopsideae,accepted,H,Y,75,13,1,1,1,1,62,>=10,>=10,<10,<10,<10,<10
1579,3049290,Alyssopsis trinervis Botsch. & Sejfulin,Alyssopsis trinervis,Alyssopsideae,accepted,H,N,2,0,0,0,0,0,0,<10,0,0,0,0,0
649,3044888,Alyssum aizoides Boiss.,Alyssum aizoides,Alysseae,accepted,H,Y,23,1,1,1,1,0,22,>=10,<10,<10,<10,<10,0
645,3044855,Alyssum alyssoides (L.) L.,Alyssum alyssoides,Alysseae,accepted,H,N,64715,57356,48126,9040,6748,6040,7359,>=1000,>=1000,>=1000,>=1000,>=1000,>=1000
3925,10834079,Alyssum amasianum Karabacak & A. Duran,Alyssum amasianum,Alysseae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
661,3044969,Alyssum andinum Rupr.,Alyssum andinum,Alysseae,accepted,H,N,1,0,0,0,0,0,1,<10,0,0,0,0,0
3589,7561470,Alyssum arenarium Kit. ex Spreng.,Alyssum arenarium,Alysseae,not accepted,H,N,14,0,0,0,0,0,14,>=10,0,0,0,0,0
2461,3692845,Alyssum argenteoides Nyár.,Alyssum argenteoides,Alysseae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
622,3044780,Alyssum argyrophyllum Schott & Kotschy,Alyssum argyrophyllum,Alysseae,accepted,H,N,69,4,0,0,0,0,65,>=10,<10,0,0,0,0
678,3045077,Alyssum armenum Boiss.,Alyssum armenum,Alysseae,accepted,H,Y,97,12,7,6,5,5,85,>=10,>=10,<10,<10,<10,<10
686,3045105,Alyssum artwinense N. Busch,Alyssum artwinense,Alysseae,accepted,H,N,5,0,0,0,0,0,5,<10,0,0,0,0,0
683,3045094,Alyssum atlanticum Desf.,Alyssum atlanticum,Alysseae,accepted,H,N,307,75,62,22,0,0,232,>=100,>=10,>=10,>=10,0,0
682,3045093,Alyssum aurantiacum Boiss.,Alyssum aurantiacum,Alysseae,accepted,H,Y,39,11,0,0,0,0,28,>=10,>=10,0,0,0,0
695,3045147,Alyssum austrodalmaticum Trinajstić,Alyssum austrodalmaticum,Alysseae,accepted,H,N,35,3,1,1,1,1,32,>=10,<10,<10,<10,<10,<10
710,3045202,Alyssum bargalense Micevski,Alyssum bargalense,Alysseae,accepted,H,N,1,1,1,0,0,0,0,<10,<10,<10,0,0,0
613,3044748,Alyssum baumgartnerianum Bornm.,Alyssum baumgartnerianum,Alysseae,accepted,H,N,29,16,7,6,6,6,13,>=10,>=10,<10,<10,<10,<10
2459,3692738,Alyssum bernhardii Wettst.,Alyssum bernhardii,Alysseae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
3984,10915251,Alyssum bertolonii subsp. rigidum Nyár.,Alyssum bertolonii,Alysseae,not accepted,H,N,3,1,0,0,0,0,2,<10,<10,0,0,0,0
2458,3692712,Alyssum bidentatum Nutt. ex Torr. & A. Gray,Alyssum bidentatum,Arabideae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
623,3044781,Alyssum blancheanum Gomb.,Alyssum blancheanum,Alysseae,accepted,H,N,1,0,0,0,0,0,0,<10,0,0,0,0,0
632,3044801,Alyssum bornmuelleri Hausskn. ex Degen,Alyssum bornmuelleri,Alysseae,accepted,W,Y,55,9,0,0,0,0,46,>=10,<10,0,0,0,0
652,3044895,Alyssum bosniacum Beck,Alyssum bosniacum,Alysseae,accepted,H,N,18,0,0,0,0,0,18,>=10,0,0,0,0,0
3634,7806041,Alyssum brughieri Colla,Alyssum brughieri,Alysseae,accepted,H,N,2175,1551,1319,667,21,16,624,>=1000,>=1000,>=1000,>=500,>=10,>=10
633,3044808,Alyssum bulbotrichum Hausskn. & Bornm.,Alyssum bulbotrichum,Alysseae,accepted,H,Y,45,8,0,0,0,0,37,>=10,<10,0,0,0,0
3795,9500042,"Alyssum cacuminum Španiel, Marhold & Lihová",Alyssum cacuminum,Alysseae,accepted,H,N,32,22,21,0,0,0,10,>=10,>=10,>=10,0,0,0
621,3044774,Alyssum caespitosum Baumgartner,Alyssum caespitosum,Alysseae,accepted,W,Y,24,2,0,0,0,0,22,>=10,<10,0,0,0,0
4006,10940760,Alyssum caliacrae subsp. prodanii Nyár.,Alyssum caliacrae,Alysseae,not accepted,H,N,72,5,3,3,1,1,67,>=10,<10,<10,<10,<10,<10
618,3044761,Alyssum calycocarpum Rupr.,Alyssum calycocarpum,Alysseae,accepted,H,N,66,51,29,16,12,7,15,>=10,>=10,>=10,>=10,>=10,<10
640,3044827,Alyssum cephalotes Boiss.,Alyssum cephalotes,Alysseae,accepted,H,N,18,1,0,0,0,0,17,>=10,<10,0,0,0,0
648,3044887,Alyssum clausonis Pomel,Alyssum clausonis,Alysseae,accepted,H,N,3,0,0,0,0,0,3,<10,0,0,0,0,0
664,3044998,Alyssum contemptum Schott & Kotschy,Alyssum contemptum,Alysseae,accepted,H,Y,50,2,0,0,0,0,48,>=10,<10,0,0,0,0
663,3044978,Alyssum corningii T.R. Dudley,Alyssum corningii,Alysseae,accepted,H,Y,11,1,0,0,0,0,10,>=10,<10,0,0,0,0
685,3045100,Alyssum cuneifolium Ten.,Alyssum cuneifolium,Alysseae,accepted,H,Y,812,516,480,15,6,4,296,>=500,>=500,>=100,>=10,<10,<10
2450,3692322,Alyssum dagestanicum Rupr.,Alyssum dagestanicum,Alysseae,not accepted,H,N,4,4,4,3,2,0,0,<10,<10,<10,<10,<10,0
698,3045156,Alyssum damascenum Boiss. & Gaill.,Alyssum damascenum,Alysseae,accepted,H,N,57,31,3,3,0,0,26,>=10,>=10,<10,<10,0,0
3701,8215381,Alyssum dasycarpum Stephan ex Willd.,Alyssum dasycarpum,Alysseae,accepted,H,Y,474,93,43,15,14,5,381,>=100,>=10,>=10,>=10,>=10,<10
4004,10939270,Alyssum davisianum T.R. Dudley,Alyssum davisianum,Alysseae,accepted,H,N,11,3,1,0,0,0,8,>=10,<10,<10,0,0,0
702,3045168,Alyssum decoloratum Pomel,Alyssum decoloratum,Alysseae,accepted,H,N,1,0,0,0,0,0,0,<10,0,0,0,0,0
709,3045201,Alyssum densistellatum T.R. Dudley,Alyssum densistellatum,Alysseae,not accepted,H,N,33,10,6,6,2,2,23,>=10,>=10,<10,<10,<10,<10
610,3044731,Alyssum diffusum Ten.,Alyssum diffusum,Alysseae,accepted,H,Y,387,259,111,37,28,10,128,>=100,>=100,>=100,>=10,>=10,>=10
